modelo,repeticao,edital,perguntas,metrica,Doc. inteiro,RAG vetorial,Configuração híbrida,Configuração com busca adicional
Claude Haiku 4.5,2,Subvenção Regional,15,Valores esperados (automático),1,0.8667,1,1
Claude Haiku 4.5,2,Subvenção Regional,15,Respostas totalmente referenciadas,0.6667,0.6667,0.9333,1
Claude Haiku 4.5,2,Subvenção Regional,15,Item esperado recuperado,1,0.7857,1,1
Claude Haiku 4.5,2,Subvenção Regional,15,Citou o item esperado,0.9286,0.7857,1,1
Claude Haiku 4.5,2,Subvenção Regional,15,Tokens de entrada por pergunta,17198.4,7027.4,12726.2,13187
Claude Haiku 4.5,2,Subvenção Regional,15,Tokens totais por pergunta,18696.8,8842.5333,18756.6,18145.5333
Claude Haiku 4.5,2,Subvenção Regional,15,Latência média (s),14.9429,17.3553,29.1581,22.5291
Claude Haiku 4.5,2,MIB R2 — Tecnologias Digitais,15,Acurácia sem referência,0.8,0.8,0.8,0.6667
Claude Haiku 4.5,2,MIB R2 — Tecnologias Digitais,15,Acurácia com referência,0.4,0.4667,0.8,0.6667
Claude Haiku 4.5,2,MIB R2 — Tecnologias Digitais,15,Valores esperados (automático),0.8,0.8,0.8,0.8
Claude Haiku 4.5,2,MIB R2 — Tecnologias Digitais,15,Respostas totalmente referenciadas,0.4667,0.6,1,0.9333
Claude Haiku 4.5,2,MIB R2 — Tecnologias Digitais,15,Item esperado recuperado,1,0.7333,0.8667,0.8667
Claude Haiku 4.5,2,MIB R2 — Tecnologias Digitais,15,Citou o item esperado,0.8667,0.7333,0.8,0.8667
Claude Haiku 4.5,2,MIB R2 — Tecnologias Digitais,15,Tokens de entrada por pergunta,20145.2667,6763.6,11761.8,14397.8667
Claude Haiku 4.5,2,MIB R2 — Tecnologias Digitais,15,Tokens totais por pergunta,21300.4,8082.2667,17283.4667,20371.2
Claude Haiku 4.5,2,MIB R2 — Tecnologias Digitais,15,Latência média (s),11.899,12.8601,19.3419,26.0181
Claude Haiku 4.5,2,Agricultura Familiar para ICTs 2026,15,Acurácia sem referência,0.8667,0.6,0.8667,0.9333
Claude Haiku 4.5,2,Agricultura Familiar para ICTs 2026,15,Acurácia com referência,0.5333,0.4667,0.6667,0.9333
Claude Haiku 4.5,2,Agricultura Familiar para ICTs 2026,15,Valores esperados (automático),0.9333,0.6,0.8667,0.9333
Claude Haiku 4.5,2,Agricultura Familiar para ICTs 2026,15,Respostas totalmente referenciadas,0.6667,0.8,0.8,0.9333
Claude Haiku 4.5,2,Agricultura Familiar para ICTs 2026,15,Item esperado recuperado,1,0.7857,1,1
Claude Haiku 4.5,2,Agricultura Familiar para ICTs 2026,15,Citou o item esperado,0.9286,0.7857,0.9286,1
Claude Haiku 4.5,2,Agricultura Familiar para ICTs 2026,15,Tokens de entrada por pergunta,22719.1333,4051.5333,10202.2667,15373.7333
Claude Haiku 4.5,2,Agricultura Familiar para ICTs 2026,15,Tokens totais por pergunta,24037.6667,5039.1333,14056.8,20055.6667
Claude Haiku 4.5,2,Agricultura Familiar para ICTs 2026,15,Latência média (s),14.3472,10.0024,17.3714,26.4647
Claude Haiku 4.5,3,Todos,45,Acurácia sem referência,0.9111,0.7111,0.9333,0.9778
Claude Haiku 4.5,3,Todos,45,Acurácia com referência,0.6222,0.5111,0.9333,0.9778
Claude Haiku 4.5,3,Todos,45,Valores esperados (automático),0.9778,0.7556,0.9556,0.9778
Claude Haiku 4.5,3,Todos,45,Respostas totalmente referenciadas,0.6444,0.6889,1,1
Claude Haiku 4.5,3,Todos,45,Item esperado recuperado,1,0.7674,1,1
Claude Haiku 4.5,3,Todos,45,Citou o item esperado,0.9535,0.7442,0.9535,1
Claude Haiku 4.5,3,Todos,45,Tokens de entrada por pergunta,20020.8,5947.3778,11924.2889,13458.8444
Claude Haiku 4.5,3,Todos,45,Tokens totais por pergunta,21474.2889,7101.0889,17476.2222,19156.7556
Claude Haiku 4.5,3,Todos,45,Latência média (s),14.5969,12.0573,22.6721,25.9408
Claude Haiku 4.5,3,Subvenção Regional,15,Acurácia sem referência,0.9333,0.8,0.9333,1
Claude Haiku 4.5,3,Subvenção Regional,15,Acurácia com referência,0.7333,0.6,0.9333,1
Claude Haiku 4.5,3,Subvenção Regional,15,Valores esperados (automático),1,0.8667,1,1
Claude Haiku 4.5,3,Subvenção Regional,15,Respostas totalmente referenciadas,0.7333,0.8,1,1
Claude Haiku 4.5,3,Subvenção Regional,15,Item esperado recuperado,1,0.7857,1,1
Claude Haiku 4.5,3,Subvenção Regional,15,Citou o item esperado,0.9286,0.7857,0.9286,1
Claude Haiku 4.5,3,Subvenção Regional,15,Tokens de entrada por pergunta,17197.7333,7027.3333,11149.8667,12039.9333
Claude Haiku 4.5,3,Subvenção Regional,15,Tokens totais por pergunta,18667.5333,8357.1333,17617.8667,18541.4667
Claude Haiku 4.5,3,Subvenção Regional,15,Latência média (s),14.6046,13.9311,26.8608,29.1261
Claude Haiku 4.5,3,MIB R2 — Tecnologias Digitais,15,Acurácia sem referência,0.8667,0.7333,0.9333,0.9333
Claude Haiku 4.5,3,MIB R2 — Tecnologias Digitais,15,Acurácia com referência,0.6,0.4667,0.9333,0.9333
